"Num","Career","Gender","Age","Studying","Contract","Salary","Firmtype","Accgrade","Grade","Startwork","Image","Exp-gene","Exp-spec","Qual-gen","Qual-spec","Value","Satisfaction"
1,"EI","male","29-30years","yes.stud","temp.cont","<18k","publi","7-8accnote","6.5-7note","after.grad","0,7","0,51","-0,47","0,58","0,4","0,57","-0,01"
2,"EI","male","31years+","no.stud","fix.cont","35k","publi","accnote<7","6.5-7note","befor.grad","-0,03","-1,13","-0,14","-0,96","0,6","-0,66","-0,49"
3,"EI","male","29-30years","yes.stud","fix.cont","35k","priva","accnote<7",">7.5note","befor.grad","-0,07","0,01","0,13","0,1","-0,95","-1,07","-0,3"
4,"EI","male","29-30years","no.stud","fix.cont","35k","publi","accnote<7","6.5-7note","befor.grad","1,45","0,52","0,87","1,36","1,63","1,17","0,93"
5,"EI","male","29-30years","no.stud","fix.cont","35k","priva","accnote<7","6.5-7note","befor.grad","0,52","0,89","-0,09","1,82","0,07","0,13","0,52"
6,"EI","male","29-30years","no.stud","fix.cont","35k","priva","accnote<7","6.5-7note","after.grad","-0,84","0,32","0,64","-1,11","-1,47","-1,3","-0,55"
7,"EI","male","27-28years","no.stud","fix.cont","35k","publi","accnote<7",">7.5note","befor.grad","0,2","-0,54","-0,7","0,36","0,36","0,39","0,67"
8,"EI","male","29-30years","yes.stud","fix.cont","35k","priva","accnote<7",">7.5note","after.grad","-1,16","-0,42","0,41","-0,67","-0,6","-0,32","-0,18"
9,"EI","male","25-26years","yes.stud","temp.cont","25k","publi","accnote<7","7-7.5note","after.grad","-2,6","-3,71","-0,14","-1,66","-2,28","-2,83","-3,6"
10,"EI","female","29-30years","no.stud","fix.cont","35k","publi","7-8accnote","7-7.5note","befor.grad","1,02","-0,12","0,36","1,46","1,08",1,"0,77"
11,"EI","male","27-28years","no.stud","fix.cont","35k","priva","accnote<7","6.5-7note","befor.grad","-0,21","-0,02","0,36","-0,37","0,24","0,75","-0,37"
12,"EI","male","29-30years","no.stud","fix.cont","45k","priva","7-8accnote","7-7.5note","befor.grad","0,71","0,8","0,64","1,59","0,6","0,84","0,92"
13,"EI","female","25-26years","no.stud","fix.cont","35k","priva","accnote<7","7-7.5note","after.grad","-0,12","-0,32","0,97","-0,37","0,11","1,07","1,07"
14,"EI","male","29-30years","no.stud","fix.cont","35k","priva","7-8accnote","7-7.5note","befor.grad","-0,75","0,46","0,23","0,58","-0,19","-0,9","-0,4"
15,"EI","male","27-28years","yes.stud","fix.cont","35k","priva","7-8accnote","6.5-7note","befor.grad","0,2","-0,15","0,23","-0,34","-0,04","1,07","0,57"
16,"EI","male","31years+","no.stud","fix.cont","35k","publi","accnote>8",">7.5note","befor.grad","-0,32","0,18","-0,14","-0,61","0,36","0,24","0,4"
17,"EI","female","31years+","no.stud","fix.cont","45k","priva","accnote<7","6.5-7note","befor.grad","1,19","1,6","0,09","1,03","0,55","-0,48","0,96"
18,"EI","male","29-30years","yes.stud","fix.cont","25k","priva","accnote<7","7-7.5note","after.grad","0,74","-0,96","-0,6","0,55","0,2","-2,98","-1,88"
19,"EI","male","29-30years","yes.stud","temp.cont","<18k","publi","accnote>8",">7.5note","befor.grad","0,27","-0,33","0,09","0,55","0,56","-0,09","0,18"
20,"EI","male","29-30years","no.stud","fix.cont",">45k","priva","accnote<7",">7.5note","befor.grad","-0,1","0,56","-1,16","-0,38","0,24","-0,14","0,35"
21,"EI","female","29-30years","no.stud","fix.cont","45k","publi","accnote<7","<6.5note","befor.grad","1,53","-0,07","0,18","0,84","0,07","0,21","0,48"
22,"EI","male","31years+","no.stud","other.cont","45k","priva","accnote<7","6.5-7note","befor.grad","-0,15","0,18","-0,19","-0,08","-0,83","0,57","1,36"
23,"EI","male","29-30years","no.stud","fix.cont","35k","priva","accnote>8",">7.5note","after.grad","0,87","0,18","0,09","-0,33","0,99","0,57","0,67"
24,"EI","male","31years+","no.stud","fix.cont","<18k","priva","accnote<7","<6.5note","after.grad","0,63","0,32","0,27","0,76","0,36","0,31","0,71"
25,"EI","male","27-28years","yes.stud","temp.cont","<18k","publi","7-8accnote",">7.5note","after.grad","2,19","1,6","1,66","1,49","1,19","-0,8","0,06"
26,"EI","male","25-26years","no.stud","fix.cont","45k","priva","7-8accnote",">7.5note","befor.grad","0,85","1,6","-4,03","0,42","-0,88","1,32","0,1"
27,"EI","male","29-30years","yes.stud","fix.cont","45k","publi","accnote<7","6.5-7note","befor.grad","0,73","1,6","1,66","0,72","-0,63","1,17","0,94"
28,"EI","male","31years+","no.stud","fix.cont","35k","priva","accnote<7","6.5-7note","after.grad","-0,41","-0,2","0,37","1,22","1,39","-0,28","-0,56"
29,"EI","male","27-28years","yes.stud","temp.cont","<18k","publi","accnote>8","6.5-7note","after.grad","-0,4","-1,96","1,66","-0,7","-0,92","0,3","-1,06"
30,"EI","male","25-26years","no.stud","fix.cont","45k","priva","accnote>8","7-7.5note","after.grad","0,42","-0,31","-0,37",0,"0,55",0,"0,57"
31,"EI","male","29-30years","no.stud","temp.cont","35k","priva","accnote<7","<6.5note","after.grad","0,58","0,28","-0,51","-0,34","-0,04","-0,19","-0,05"
32,"EI","male","31years+","no.stud","fix.cont","35k","priva","accnote<7","<6.5note","befor.grad","-2,78","-1,38","-0,75","-3,62","-2,98","-1,55","-3,94"
33,"EI","male","31years+","yes.stud","fix.cont","35k","priva","accnote<7","6.5-7note","befor.grad","-0,25","1,19","0,87","1,22","0,36","-0,67","-0,8"
34,"EI","male","31years+","no.stud","other.cont","35k","publi","accnote<7","6.5-7note","befor.grad","0,91","0,18","1,66","0,77","0,99","0,41","-0,35"
35,"EI","male","31years+","no.stud","other.cont","25k","priva","accnote<7","6.5-7note","befor.grad","0,7","1,15","1,66","1,05","1,83","1,1","0,09"
36,"EI","male","25-26years","no.stud","fix.cont","35k","priva","accnote>8",">7.5note","befor.grad","-0,53","-0,77","0,09","-0,19","0,15","-0,32","0,38"
37,"EI","male","27-28years","no.stud","temp.cont","25k","priva","accnote<7","7-7.5note","befor.grad","-0,06","0,27","-0,7","-0,44","-0,68","0,57","0,85"
38,"EI","male","27-28years","no.stud","fix.cont",">45k","priva","accnote<7","6.5-7note","after.grad","0,1","0,71","-0,1","0,84","0,56","1,02","1,16"
39,"EI","male","31years+","no.stud","fix.cont","45k","priva","7-8accnote",">7.5note","befor.grad","1,59","-0,02","1,66","0,4","1,63","0,03","0,5"
40,"EI","male","27-28years","no.stud","fix.cont","35k","priva","accnote<7","<6.5note","befor.grad","-0,42","-0,83","0,87","-0,78","-0,24","-0,37","-0,08"
41,"EI","male","29-30years","yes.stud","fix.cont","35k","publi","accnote<7","6.5-7note","after.grad","-0,28",1,"1,66","0,33","0,99","0,57","0,67"
42,"EI","male","25-26years","yes.stud","fix.cont","45k","priva","7-8accnote",">7.5note","befor.grad","0,7","0,01","1,02","1,02","0,99","1,45","0,53"
43,"EI","male","29-30years","yes.stud","fix.cont","35k","priva","accnote<7","<6.5note","befor.grad","0,33","0,98","0,36","-0,14","-0,75","0,27","-0,27"
44,"EI","male","27-28years","yes.stud","fix.cont","35k","priva","accnote>8",">7.5note","befor.grad","0,69","0,65","0,41","1,04","0,75","0,28","1,21"
45,"EI","male","31years+","no.stud","fix.cont","45k","priva","accnote<7","<6.5note","befor.grad","0,62","0,76","0,79","0,86","-1,47","1,31",1
46,"EI","male","27-28years","no.stud","fix.cont","45k","priva","7-8accnote","6.5-7note","after.grad","0,64","0,09","0,74","-0,1","0,91","1,02","1,1"
47,"EI","male","29-30years","no.stud","fix.cont","35k","priva","accnote<7","6.5-7note","befor.grad","0,19","-0,13","0,64","0,62","-0,95","-0,31","0,47"
48,"EI","male","25-26years","yes.stud","fix.cont","25k","priva","accnote>8","7-7.5note","befor.grad","0,02","0,76","-0,6","1,29","-0,32","0,43","0,06"
49,"EI","female","29-30years","no.stud","fix.cont","35k","priva","7-8accnote","7-7.5note","befor.grad","1,52","1,15","-0,14","2,32","1,15","1,31","1,36"
50,"EI","male","25-26years","no.stud","fix.cont","35k","priva","accnote>8",">7.5note","befor.grad","-0,44","-0,56","-0,47","0,04","0,4","1,49","0,69"
51,"EI","male","27-28years","no.stud","fix.cont","35k","priva","7-8accnote","6.5-7note","befor.grad","1,62","0,18","0,69","1,94","1,63","1,32","1,1"
52,"EI","male","27-28years","no.stud","fix.cont","25k","priva","accnote<7","6.5-7note","befor.grad","0,39","0,89","-0,23","0,7","0,56","-2,47","-0,33"
53,"EI","female","29-30years","no.stud","fix.cont","25k","priva","7-8accnote","6.5-7note","after.grad","0,05","0,02","0,97","-0,48","-0,2","-0,37","-0,92"
54,"EI","male","31years+","no.stud","fix.cont","35k","priva","accnote<7","6.5-7note","befor.grad","-1,03","-1,37","-0,7","-0,66","-0,92","-1,96","-3,02"
55,"EI","male","27-28years","no.stud","fix.cont","25k","priva","7-8accnote","6.5-7note","befor.grad","0,64","0,35","0,18","0,85","0,99","0,6","0,67"
56,"EI","female","27-28years","no.stud","fix.cont","35k","priva","accnote<7","7-7.5note","after.grad","0,73","0,78","-0,7","1,05","1,23","0,42","0,16"
57,"EI","male","29-30years","no.stud","fix.cont","35k","priva","7-8accnote","7-7.5note","befor.grad","0,12","-2,27","0,09","-1,81","0,39","0,43","-0,37"
58,"EI","male","27-28years","yes.stud","temp.cont","25k","priva","accnote<7","6.5-7note","befor.grad","0,16","0,91","0,23","0,03","-0,35","0,46","1,21"
59,"EI","male","31years+","yes.stud","fix.cont","45k","publi","accnote<7","6.5-7note","befor.grad","0,83","-0,46","0,14","1,03","0,44","1,78","1,86"
60,"EI","male","27-28years","no.stud","fix.cont","45k","priva","accnote>8",">7.5note","befor.grad",-1,"-0,46","0,09","-2,26","0,83","1,03","-0,04"
61,"EI","male","31years+","no.stud","temp.cont","35k","priva","accnote<7",">7.5note","befor.grad","-0,84","-1,22","-0,7","-0,03","-0,44","-0,04","-0,62"
62,"EI","male","29-30years","no.stud","fix.cont","35k","priva","accnote<7","6.5-7note","after.grad","0,3","-1,74","-1,43","0,33","-0,63","-0,64","0,16"
63,"EI","male","29-30years","yes.stud","fix.cont","35k","priva","7-8accnote","7-7.5note","befor.grad","-1,12","-1,96","-1,81","-1,72","-2,15","-2,85","-1,2"
64,"EI","male","29-30years","no.stud","fix.cont","35k","priva","7-8accnote","7-7.5note","befor.grad","-0,81","0,21","-0,88","0,81","-0,24","-0,19","-0,73"
65,"EI","male","29-30years","yes.stud","temp.cont","35k","publi","7-8accnote","7-7.5note","after.grad","-0,46","1,05","1,48","0,22","-0,28","0,39","-0,02"
66,"EI","female","31years+","no.stud","fix.cont","35k","priva","accnote<7","6.5-7note","after.grad","-0,26","0,8","0,73","-0,16","-0,16","0,56",-2
67,"EI","female","31years+","no.stud","fix.cont","35k","priva","accnote<7","<6.5note","befor.grad","-0,24","-2,95","1,66","1,16","-0,44","-0,3","-0,88"
68,"EI","male","27-28years","no.stud","fix.cont","35k","priva","7-8accnote",">7.5note","befor.grad","1,02","0,24","0,09","0,51","0,79","0,53","0,89"
69,"EI","female","31years+","yes.stud","other.cont","<18k","priva","7-8accnote","7-7.5note","befor.grad","1,99","1,6","1,66","2,19","1,67","-0,41","0,46"
70,"EI","male","27-28years","yes.stud","fix.cont","25k","priva","accnote>8","6.5-7note","befor.grad","-0,75","1,37","0,64","0,58","-2,82","-1,81","-1,63"
71,"EI","male","29-30years","no.stud","fix.cont","35k","priva","7-8accnote","6.5-7note","befor.grad","1,15","0,72","0,73","1,29","1,23","1,17","0,92"
72,"EI","male","27-28years","no.stud","fix.cont","35k","priva","accnote<7","6.5-7note","after.grad",1,"-0,39","0,09","0,17","-0,59","0,1","0,48"
73,"EI","male","27-28years","no.stud","fix.cont","35k","priva","accnote<7","6.5-7note","after.grad","-0,24","0,35","-0,19","-1,04","0,12","-1,02","-1,42"
74,"EI","male","27-28years","no.stud","fix.cont","35k","priva","accnote<7","6.5-7note","after.grad","-0,66","-1,96","0,14","-0,7","0,15","1,13","0,34"
75,"EI","male","29-30years","no.stud","fix.cont","35k","priva","accnote<7","6.5-7note","after.grad","1,83","1,11","0,37","0,84","0,59","0,27","0,36"
76,"EI","male","27-28years","no.stud","fix.cont","35k","priva","7-8accnote",">7.5note","befor.grad","0,7","-1,25","-1,72","1,24","0,55","-0,01","-0,24"
